id,customer_gender,customer_age,season,category,product,actual_price,discount_applied,customer_sentiments,previous_sales,Previous_sales
1,Male,40,Spring,Sports,Yoga Mat,36.52,23,Negative,0,0
2,Female,42,Spring,Clothing,Sweater,57.63,48,Neutral,0,0
3,Male,32,Winter,,Jacket,127.73,21,Negative,0,0
4,Male,53,Spring,Clothing,T-Shirt,57.47,37,,0,0
5,Male,29,Summer,Electronics,Smartwatch,849.67,13,Positive,0,0
6,Female,29,Summer,Home,Coffee Maker,192.08,18,Positive,,0
7,Female,37,Winter,Clothing,Jeans,41.69,0,Negative,0,0
8,Male,18,Spring,Sports,Tennis Racket,,17,Negative,0,0
9,Female,22,Winter,Electronics,Smartphone,1003.74,12,Positive,0,0
10,Female,24,Autumn,Electronics,Smartwatch,925.37,3,Negative,0,1
11,Male,52,Winter,Home,Blender,297.72,22,Positive,0,0
12,Female,35,Spring,Electronics,Smartwatch,655.75,3,Negative,0,2
13,Male,28,Winter,Clothing,Jeans,110,27,Negative,0,1
14,Male,21,Autumn,Sports,Water Bottle,35.57,31,Positive,0,0
15,Female,27,Autumn,Electronics,Headphones,866.99,9,Negative,0,0
16,Male,27,Autumn,Electronics,Laptop,560.72,19,Positive,0,0
17,Female,34,Spring,Clothing,Jacket,19.86,9,Negative,0,1
18,Female,44,Summer,Home,Blender,,7,Positive,0,1
19,Male,37,Spring,,Water Bottle,199.21,0,Positive,0,1
20,Male,19,Autumn,Electronics,Smartwatch,85.38,28,Positive,0,3
21,Male,43,Winter,Home,Lamp,217.08,28,Negative,0,0
22,Female,33,Winter,Clothing,Sneakers,24.12,20,Neutral,0,0
23,Male,18,Summer,Home,Lamp,112.45,14,Negative,0,1
24,Male,29,Autumn,Electronics,Smartphone,551.29,15,Positive,0,1
25,Male,39,Summer,Electronics,Headphones,510.14,1,Neutral,0,1
26,,38,Winter,Electronics,Tablet,1065.54,8,Neutral,0,0
27,Male,26,Winter,Clothing,Sneakers,80.07,34,Negative,0,1
28,Female,47,Summer,Clothing,Sweater,50.16,39,Negative,0,1
29,Female,24,Spring,Home,Vacuum Cleaner,96.13,20,Positive,0,0
30,Female,38,Spring,Sports,Yoga Mat,128.65,40,Positive,0,1
31,Male,29,Autumn,Electronics,Laptop,1439.79,9,Negative,0,1
32,Female,21,Autumn,Sports,Tennis Racket,35.84,7,Negative,0,1
33,Male,44,Autumn,Home,Microwave,273.57,45,Negative,0,0
34,Female,34,Summer,Sports,Running Shoes,168.55,40,Negative,0,0
35,Female,39,Spring,Home,Microwave,143.79,15,Neutral,0,1
36,Female,39,Winter,Electronics,Tablet,1098.65,18,Negative,0,1
37,Female,34,Autumn,Sports,Yoga Mat,146.73,48,Positive,0,2
38,Male,18,Autumn,Home,Lamp,193.96,37,Positive,0,2
39,Male,36,Winter,Electronics,Headphones,1021.29,9,Negative,0,2
40,Male,36,Winter,Sports,Yoga Mat,80.76,0,Negative,0,3
41,Female,32,Winter,Sports,Running Shoes,33.66,30,Negative,0,1
42,Male,52,Spring,Sports,Tennis Racket,142.32,17,Negative,0,2
43,Male,25,Winter,Sports,,189.07,17,Neutral,0,2
44,Male,45,Winter,Electronics,Smartphone,275.87,30,Negative,0,2
45,Female,28,Winter,Clothing,Jacket,149.67,33,Positive,0,2
46,Male,36,Spring,Electronics,Smartphone,190.75,40,Positive,0,3
47,Male,26,Winter,Electronics,Headphones,497.76,20,Negative,0,3
48,Female,30,Autumn,Electronics,Tablet,282.99,3,Neutral,0,2
49,Female,38,Summer,Sports,Dumbbells,167.93,29,Negative,0,0
50,Female,35,Winter,Electronics,Smartphone,641.68,9,Positive,0,4
51,Male,18,Summer,Home,Microwave,184.8,19,Positive,0,2
52,Female,30,Winter,Home,Blender,276.56,13,Positive,0,2
53,Male,33,Winter,Electronics,Headphones,63.87,31,Negative,0,4
54,Male,57,Winter,Sports,Tennis Racket,120.63,28,Negative,0,3
55,Male,38,Autumn,Sports,Water Bottle,156.26,24,Positive,0,3
56,Male,18,Autumn,Home,Vacuum Cleaner,255.22,25,Negative,0,1
57,Female,35,Winter,Electronics,Tablet,1051.36,22,Negative,0,3
58,Male,32,Winter,Clothing,Sneakers,101.69,30,Negative,0,2
59,Male,34,Summer,Electronics,Laptop,1392,4,Negative,0,2
60,Male,48,Winter,Home,Lamp,247.66,36,Negative,0,3
61,Female,44,Summer,Electronics,Tablet,1074.81,5,Neutral,0,4
62,Male,51,Winter,Clothing,Jeans,,4,Positive,0,2
63,Male,42,Summer,Home,Blender,20.98,58,Neutral,0,3
64,Male,23,Autumn,Home,Vacuum Cleaner,,17,Positive,0,2
65,Male,36,Spring,Electronics,Tablet,54.81,17,Negative,0,5
66,Female,18,Autumn,Sports,Water Bottle,112.68,26,Negative,0,4
67,Male,22,Spring,Sports,Dumbbells,187.54,32,Negative,0,1
68,Male,23,Summer,Home,Lamp,196.12,48,Negative,0,4
69,Male,25,Winter,Clothing,Sneakers,60.23,20,Negative,0,3
70,Male,44,Autumn,Electronics,Smartwatch,200.89,7,Negative,0,4
71,Female,37,Winter,Home,Lamp,39,45,Positive,0,5
72,Male,18,Winter,Home,Lamp,119.76,28,Positive,0,6
73,Male,38,Spring,Clothing,Jeans,105.63,37,Positive,0,3
74,Male,20,Autumn,Sports,Running Shoes,149.2,5,Negative,0,2
75,Female,41,Spring,Electronics,Smartphone,632.99,11,Negative,0,5
76,Female,38,Autumn,Electronics,Headphones,534.06,12,Positive,0,5
77,Male,26,Summer,Clothing,T-Shirt,70.56,28,Neutral,0,1
78,Male,38,Summer,Sports,Dumbbells,75.85,14,Negative,0,
79,Male,57,Summer,Home,Microwave,155.49,32,Negative,0,
80,Female,20,Autumn,Clothing,Sweater,90.46,35,Positive,0,2
81,Male,23,Winter,Home,Coffee Maker,26.02,37,Negative,0,1
82,Female,48,Winter,Clothing,Jeans,112.32,13,Neutral,0,4
83,Male,46,Summer,Clothing,Sweater,93.46,31,Negative,0,3
84,Female,44,Spring,Sports,Water Bottle,178.15,53,Negative,0,5
85,Female,32,Winter,Electronics,Headphones,176.16,14,Positive,0,6
86,Female,24,Autumn,Home,Blender,64.43,13,Negative,0,4
87,Female,34,Winter,Sports,Running Shoes,86.91,30,Negative,0,3
88,Female,38,Spring,Sports,Tennis Racket,149.79,37,,0,4
89,Female,35,,,Water Bottle,71.07,,Negative,0,6
90,Male,31,Autumn,Clothing,Jeans,148.71,66,Neutral,0,5
91,Male,42,Spring,Clothing,Jeans,75.83,12,Negative,0,6
92,Female,22,Spring,Electronics,Headphones,918.96,12,Positive,0,7
93,Female,32,Summer,Clothing,Sweater,129.15,36,Positive,0,4
94,Male,40,Spring,Clothing,Sweater,107.85,24,Negative,0,5
95,Female,24,Summer,Home,Vacuum Cleaner,149.8,2,Negative,0,3
96,Female,29,Summer,Home,Coffee Maker,57.72,38,Negative,0,2
97,Female,37,Spring,Electronics,Headphones,369.6,6,Neutral,0,8
98,Female,37,Summer,Electronics,Laptop,139.18,31,Neutral,0,3
99,Female,24,Autumn,Home,Blender,256.67,27,Neutral,0,5
100,Female,35,Spring,Clothing,Sneakers,93.16,8,Neutral,0,4
101,Female,39,Summer,Clothing,Jeans,97.02,33,Negative,0,7
102,Female,,Summer,Electronics,Headphones,194.65,41,Positive,0,9
103,Female,18,Spring,Electronics,Smartphone,555.02,5,Positive,0,6
104,Male,41,Winter,Electronics,Headphones,133.45,33,Negative,0,10
105,Female,41,Autumn,Sports,Yoga Mat,156.67,83,Negative,0,4
106,Male,,Autumn,Home,Lamp,119.1,42,Negative,0,7
107,Male,46,Spring,Home,Lamp,216.25,35,Negative,0,8
108,Female,31,Summer,Electronics,Laptop,488.89,36,Negative,0,4
109,Male,25,Autumn,Electronics,Smartwatch,389.17,21,Positive,0,5
110,Female,29,Spring,Electronics,Tablet,,10,Negative,0,6
111,Male,62,Winter,Electronics,Tablet,1072.65,1,Positive,0,7
112,Male,43,Spring,Electronics,Smartphone,220.69,1,Negative,0,7
113,Male,29,Winter,Electronics,,1067.57,15,Negative,0,8
114,Male,35,Winter,,Laptop,98.25,9,Negative,0,5
115,Male,26,Summer,Electronics,Tablet,124.72,35,Neutral,0,9
116,Male,26,Summer,Electronics,Smartphone,519.72,11,Negative,0,8
117,Female,35,Spring,Clothing,Jeans,51.27,15,Positive,0,8
118,Female,60,Winter,Sports,Dumbbells,12.32,35,Positive,0,3
119,Male,18,Winter,Sports,Yoga Mat,27.35,28,Positive,0,5
120,Male,27,Autumn,Electronics,Laptop,888.42,14,Negative,0,6
121,Female,25,Autumn,Home,Coffee Maker,227.01,23,Positive,0,3
122,Male,41,Winter,Clothing,Sneakers,29.22,38,Neutral,0,5
123,Male,20,Summer,Sports,Water Bottle,42.79,20,Positive,0,7
124,Male,29,Autumn,Electronics,Smartphone,,7,Neutral,0,9
125,Male,56,Winter,Electronics,Headphones,527.18,12,Positive,0,11
126,Male,19,Winter,Clothing,Jeans,122.8,39,Negative,0,9
127,Male,60,Winter,Clothing,T-Shirt,132.41,40,Neutral,0,2
128,Male,18,Autumn,Sports,Yoga Mat,173.73,18,Positive,0,6
129,Female,50,Spring,Sports,Water Bottle,177.23,14,Negative,0,8
130,Male,40,Winter,Sports,Water Bottle,109.85,37,Positive,0,9
131,Male,23,Winter,Sports,Running Shoes,110.34,24,Positive,0,4
132,Male,18,,Clothing,Jacket,64.51,10,Negative,0,3
133,Female,31,Spring,Sports,Tennis Racket,145.57,6,Neutral,0,5
134,Male,54,Summer,Electronics,Smartphone,649.57,3,Positive,0,10
135,Male,29,Summer,Clothing,Jeans,105.37,27,Positive,0,10
136,Male,52,Winter,Clothing,Sneakers,99.19,3,Positive,0,6
137,Male,48,Autumn,Sports,Dumbbells,118.88,25,Positive,0,4
138,Female,23,Spring,Electronics,Laptop,1769.15,12,Negative,0,7
139,Female,37,Spring,Home,Blender,265.55,16,Positive,0,6
140,Female,35,Spring,Electronics,Laptop,1692.75,8,Positive,0,8
141,Female,36,Spring,Electronics,Smartwatch,421.82,35,Positive,0,6
142,,54,Autumn,Home,Microwave,252.24,6,Negative,0,4
143,Male,60,Autumn,Home,Microwave,58.22,0,Negative,0,5
144,Female,33,Summer,Sports,Yoga Mat,172.96,34,Neutral,0,7
145,Male,38,Spring,Electronics,Smartwatch,507.38,7,Negative,0,7
146,Male,32,Winter,Home,Lamp,263.04,18,Negative,0,9
147,Female,27,Autumn,Electronics,Headphones,219.66,38,Negative,0,12
148,Male,39,Autumn,Home,Vacuum Cleaner,172.11,15,Negative,0,4
149,Male,45,Summer,Sports,Water Bottle,76.65,30,Negative,0,10
150,Female,44,Summer,Home,Microwave,139.59,34,Negative,0,6
151,Male,25,Spring,Clothing,Jacket,95.9,17,Neutral,0,4
152,Female,43,Summer,Home,Vacuum Cleaner,28.33,34,Negative,0,5
153,Male,34,Spring,Clothing,T-Shirt,95.89,27,Negative,0,3
154,Male,50,Winter,Electronics,Smartphone,853.98,7,Positive,0,11
155,Male,41,Autumn,Clothing,Sweater,84.01,22,Positive,0,6
156,Female,32,Summer,Clothing,Sneakers,126.08,41,Positive,0,7
157,Female,44,Winter,Clothing,T-Shirt,139.64,37,Negative,0,4
158,Male,50,Autumn,Electronics,Tablet,885.67,10,Positive,0,10
159,Female,43,Winter,Clothing,Jacket,67.41,20,Neutral,0,5
160,Male,38,Spring,Electronics,Tablet,370.49,23,Positive,0,11
161,Male,36,Summer,Home,Coffee Maker,30.7,34,Negative,0,4
162,Female,25,Winter,Clothing,Sneakers,19.5,56,Positive,0,8
163,Female,22,Spring,Home,Microwave,83.63,7,Negative,0,7
164,Female,48,Winter,Electronics,Smartphone,1163.86,14,Negative,0,12
165,Female,42,Spring,Clothing,Sneakers,116.73,34,Negative,0,9
166,Female,34,Spring,Electronics,Headphones,948.1,6,Positive,0,13
167,Male,35,Winter,Electronics,Headphones,688.59,7,Positive,0,14
168,Male,46,Autumn,Home,Vacuum Cleaner,64.07,23,Positive,0,6
169,Female,25,Spring,Sports,Tennis Racket,72.44,20,Negative,0,6
170,Male,39,Summer,Home,Blender,83.08,17,Neutral,0,7
171,Female,25,Summer,Clothing,Jeans,97.19,29,Positive,0,11
172,Male,37,Winter,Home,Vacuum Cleaner,285.38,17,Neutral,0,7
173,Female,29,Autumn,Electronics,Headphones,434.2,28,Negative,0,15
174,Female,18,Spring,Clothing,Jacket,72.81,4,Negative,0,6
175,Male,26,Winter,Home,Coffee Maker,251.46,22,Negative,0,5
176,Female,38,Spring,Sports,Tennis Racket,22.39,47,Positive,0,7
177,Female,45,Summer,Electronics,Smartphone,762.36,9,Neutral,0,13
178,Male,34,Autumn,Sports,Yoga Mat,153.99,10,Negative,0,8
179,Female,34,Summer,Home,Microwave,201.18,21,Neutral,0,8
180,Female,38,Winter,Clothing,Jeans,17.25,13,Negative,0,12
181,Male,41,Summer,Electronics,Headphones,451.75,48,Negative,0,16
182,Female,33,Spring,Clothing,Jacket,95.3,31,Positive,0,7
183,Male,43,Summer,Clothing,Jacket,33.52,19,Negative,0,8
184,Female,37,Summer,Electronics,Tablet,55.66,25,Neutral,0,12
185,Female,36,Spring,Home,Microwave,116.27,13,Neutral,0,9
186,Female,35,Autumn,Clothing,Sweater,53.56,32,Negative,0,7
187,Male,52,Autumn,Electronics,Smartphone,1160.78,15,Negative,0,14
188,Male,60,Winter,Electronics,Tablet,110.01,13,Positive,0,13
189,Female,45,Summer,Clothing,Sweater,146.63,28,Negative,0,8
190,Male,61,Spring,Electronics,Tablet,643.05,6,Positive,0,14
191,Female,24,Spring,Sports,Yoga Mat,79.33,16,Neutral,0,9
192,Female,18,Winter,Electronics,Smartwatch,366.4,17,Negative,0,8
193,Female,25,Summer,Sports,Dumbbells,52.35,27,Positive,0,5
194,Male,39,Summer,Electronics,Tablet,709.05,19,Positive,0,15
195,Female,46,Summer,Electronics,Smartwatch,188.59,16,Negative,0,9
196,Male,24,Winter,Electronics,Headphones,459.91,32,Negative,0,17
197,Male,19,Spring,Sports,Water Bottle,85.91,52,Neutral,0,11
198,Female,49,Autumn,Electronics,Headphones,971.08,8,Negative,0,18
199,Male,18,Summer,Sports,Water Bottle,27.99,45,Negative,0,12
200,Male,33,Summer,Electronics,Laptop,1537.16,16,Negative,0,9
201,Female,18,Autumn,Electronics,Smartphone,670.36,7,Negative,0,15
202,Male,35,Autumn,Electronics,Smartphone,714.44,10,Negative,0,16
203,Female,29,Winter,Clothing,Sneakers,40.29,34,Negative,0,10
204,Male,22,Summer,Home,Microwave,257.46,23,Negative,0,10
205,Male,36,Spring,Electronics,Smartphone,251.23,33,Positive,0,17
206,Female,43,Spring,Home,Vacuum Cleaner,134.84,8,Negative,0,8
207,Male,18,Spring,Electronics,Laptop,962.7,16,Negative,0,10
208,Male,38,Spring,Sports,Water Bottle,50.27,14,Negative,0,13
209,Female,53,Autumn,Electronics,Headphones,339.97,27,Positive,0,19
210,Male,49,Autumn,Electronics,Smartwatch,357.76,26,Positive,0,10
